winningmargin,homescore,awayscore,hometeam,awayteam,attendance
39,111,72,1,7,33725
-5,84,89,5,14,56449
-2,64,66,11,2,31686
53,113,60,12,16,21049
13,88,75,4,9,28815
-63,63,126,8,13,42458
82,127,45,15,17,65335
56,118,62,1,3,47395
10,100,90,7,16,9329
-44,78,122,5,11,42134
75,152,77,10,18,7329
27,104,77,4,13,33832
14,70,56,2,14,45115
47,136,89,15,8,30120
2,77,75,9,17,9057
6,70,64,6,12,43976
-49,69,118,7,14,47503
40,109,69,2,8,31638
-21,87,108,9,10,10461
93,130,37,15,11,23134
-3,76,79,17,1,10119
-22,60,82,3,12,45770
43,97,54,16,18,9672
18,96,78,13,5,83985
13,90,77,6,4,95179
-7,76,83,12,2,25845
48,115,67,10,7,25528
-1,106,107,11,9,31615
29,94,65,14,17,40119
90,139,49,13,18,29455
-108,44,152,8,3,47940
-28,104,132,4,15,67457
-24,48,72,5,16,23664
-1,58,59,1,6,43942
-26,74,100,3,10,45458
46,104,58,5,8,28293
26,98,72,15,1,21415
-5,85,90,16,13,11440
69,117,48,7,17,37160
-15,71,86,9,14,10039
5,92,87,2,4,36247
29,77,48,6,11,71463
-30,34,64,18,12,22065
24,102,78,5,15,58141
-70,43,113,8,16,36219
-17,86,103,11,7,28927
-70,65,135,18,2,6310
-54,49,103,17,13,39818
42,87,45,10,4,31898
-20,59,79,3,14,42756
52,121,69,1,12,33805
65,120,55,6,9,37631
4,80,76,2,13,37565
-3,90,93,18,11,21003
45,85,40,14,1,10114
29,106,77,7,15,45811
43,107,64,10,16,23286
1,71,70,4,5,78300
116,142,26,17,8,9135
-28,57,85,3,6,80354
-12,80,92,9,12,7508
26,77,51,11,3,36310
-10,78,88,12,17,32022
-7,72,79,13,7,29154
-7,74,81,15,9,21349
7,84,77,16,14,9316
-50,46,96,8,4,39269
-10,67,77,5,2,30357
35,105,70,6,18,39467
17,95,78,1,10,33188
17,61,44,13,3,49872
55,151,96,2,17,34234
-63,57,120,8,6,41713
-22,75,97,14,15,41944
25,112,87,16,1,10772
-6,104,110,9,5,9723
6,105,99,4,18,40488
-14,66,80,11,12,30123
-22,85,107,14,2,23110
25,98,73,17,10,35869
122,174,52,1,8,39450
-15,70,85,7,5,46843
-28,75,103,18,9,5025
-34,52,86,3,4,83638
4,66,62,13,6,83578
38,110,72,2,15,36316
16,97,81,10,11,28561
70,106,36,9,7,8633
20,90,70,5,12,62686
59,120,61,3,16,29602
-21,84,105,18,14,23829
15,78,63,15,13,19617
-28,56,84,12,10,28985
171,205,34,11,8,31367
32,93,61,7,4,43063
2,82,80,6,1,65930
67,101,34,16,17,14242
81,134,53,10,5,30022
0,54,54,11,15,32098
66,138,72,1,18,35226
29,102,73,14,7,25412
-78,42,120,16,6,22483
-4,74,78,4,2,38957
-60,52,112,17,3,66337
-2,45,47,13,9,3413
-8,77,85,8,12,35579
13,88,75,5,11,48443
-12,77,89,14,6,43482
81,116,35,10,8,24843
13,85,72,9,17,9007
-21,58,79,12,13,30749
33,106,73,2,16,31053
62,125,63,15,18,21066
18,115,97,4,1,39606
-53,45,98,7,3,49469
2,78,76,11,14,26221
1,105,104,13,10,38030
46,113,67,6,7,61157
26,77,51,16,12,13015
50,122,72,3,2,34306
77,122,45,15,4,23185
-14,57,71,1,9,36674
-48,40,88,18,17,30201
-38,60,98,8,5,40501
-41,49,90,4,14,43634
1,96,95,5,17,57654
71,140,69,3,8,34954
11,64,53,10,15,32586
-29,76,105,7,11,42433
-2,83,85,2,6,47965
40,103,63,9,16,10026
4,97,93,13,1,33122
8,69,61,12,18,18279
-17,76,93,6,3,86785
-5,73,78,14,9,9080
-7,64,71,15,7,21619
41,96,55,16,10,14097
-2,99,101,4,11,38329
47,112,65,1,2,50023
-29,93,122,17,12,22769
-32,98,130,5,13,52294
5,72,67,8,18,38231
55,126,71,14,5,39304
1,73,72,4,8,30742
28,89,61,1,16,35777
32,105,73,17,6,62134
12,97,85,15,2,21279
-11,85,96,9,11,19332
-32,71,103,18,13,8034
-19,54,73,12,3,42656
-3,74,77,7,10,37845
8,109,101,6,15,78749
-9,77,86,18,4,37231
24,114,90,11,16,33911
6,99,93,10,1,30107
4,60,56,3,13,68577
-101,33,134,8,7,51172
3,67,64,17,14,12480
36,93,57,12,5,31119
51,136,85,2,9,32597
-24,100,124,6,10,38350
29,101,72,5,18,59555
-4,87,91,16,3,19253
126,162,36,9,4,10281
33,88,55,12,15,40103
-1,73,74,1,11,44817
-7,85,92,14,8,23965
27,87,60,13,17,50142
-16,58,74,7,2,38360
-70,31,101,4,6,74344
-37,56,93,17,7,27951
35,132,97,18,16,4378
12,72,60,10,12,31689
-25,79,104,15,14,20533
-45,78,123,8,1,47027
31,94,63,2,5,39860
-21,56,77,11,13,41753
-32,73,105,3,9,44354
7,60,53,6,13,92636
6,74,68,3,11,92026
-24,77,101,12,9,68465
48,123,75,10,2,36020
-2,71,73,13,3,96412
-23,70,93,2,9,45520
1,58,57,6,9,97665
16,79,63,10,3,36012
4,90,86,6,10,100024
22,86,64,11,13,40012
-1,85,86,10,3,33367
39,99,60,16,5,22086
32,114,82,9,6,21235
5,86,81,3,5,83881
-33,69,102,6,11,78933
24,107,83,4,17,73805
39,121,82,9,18,8034
8,76,68,15,12,39352
6,60,54,16,1,11466
45,109,64,13,14,44100
50,120,70,2,8,34078
23,93,70,7,10,40604
15,94,79,12,6,69517
-19,77,96,1,15,44758
-26,76,102,18,7,17589
-55,38,93,17,13,43960
30,131,101,11,4,34954
48,115,67,14,16,9752
-30,92,122,5,2,30254
-65,43,108,8,9,42401
-20,72,92,10,6,34022
-56,81,137,18,3,47565
35,69,34,7,1,51037
4,71,67,4,12,44412
-7,89,96,2,13,38105
76,106,30,14,8,22991
5,82,77,5,11,45112
-36,70,106,17,15,67020
-15,63,78,1,13,48020
70,112,42,10,18,9037
69,111,42,2,4,47461
-26,78,104,8,11,9225
-10,63,73,7,3,43158
-4,91,95,14,15,45970
-28,89,117,16,9,9337
-7,60,67,5,12,9425
5,77,72,6,17,43198
-22,60,82,13,10,43098
-29,67,96,14,4,50144
1,80,79,9,12,12448
-2,98,100,3,1,46283
3,66,63,2,7,35658
53,109,56,16,17,13900
75,139,64,15,18,31194
39,109,70,8,5,47665
-60,64,124,12,14,26719
-3,75,78,1,4,46700
42,123,81,6,2,65834
19,117,98,3,9,40474
-26,37,63,10,15,30429
37,105,68,8,7,54473
53,110,57,11,16,35649
-45,68,113,18,17,30648
-43,42,85,5,13,72840
0,85,85,4,6,93644
54,113,59,9,10,13080
10,82,72,2,12,40306
-57,81,138,18,1,5365
13,118,105,15,3,87775
24,95,71,7,14,45931
37,112,75,16,8,11440
-76,42,118,17,11,38052
30,78,48,1,2,52106
-6,79,85,3,6,88362
29,98,69,11,9,40337
38,103,65,12,18,27009
8,74,66,13,15,51795
-6,71,77,8,4,51751
-54,49,103,5,7,32252
-7,91,98,14,17,29555
34,79,45,10,16,30285
1,77,76,3,13,58472
-6,95,101,15,2,29942
-48,39,87,7,11,46198
5,58,53,17,12,15112
20,82,62,4,9,37295
68,120,52,16,18,7036
-91,42,133,5,14,38007
66,103,37,6,8,37433
0,90,90,1,10,40278
64,164,100,16,15,12112
52,117,65,11,3,44047
4,78,74,6,1,63925
-27,43,70,9,14,7747
-17,55,72,12,7,19265
119,163,44,10,5,27200
40,106,66,4,18,43125
1,80,79,2,17,36190
35,105,70,8,13,43408
-14,88,102,14,11,27377
0,75,75,7,6,54035
29,102,73,3,16,39597
-59,48,107,18,2,4705
-4,74,78,15,9,30821
-12,74,86,5,4,79359
25,100,75,17,10,29664
